"signatureID","GeneID","coefficients","Pvals"
"CMAP_1023",101,0.416477,0.0546248325170225
"CMAP_1023",1010,-0.0458501,0.611438737966523
"CMAP_1023",10100,-0.11927,0.692291808854618
"CMAP_1023",10101,0.0781642,0.534715404242528
"CMAP_1023",10102,-0.299624,0.229285086985795
"CMAP_1023",10103,0.0207987,0.960557815219379
"CMAP_1023",10105,0.0423938,0.815636554645568
"CMAP_1023",10106,0.33682,0.00685713317233532
"CMAP_1023",10107,0.0639651,0.415078710933712
"CMAP_1023",10109,-0.0350614,0.775819479500183
"CMAP_1023",10110,-0.116884,0.425181644780622
"CMAP_1023",10111,-0.0287503,0.840995820957912
"CMAP_1023",10112,-0.5907,3.72133318448222e-05
"CMAP_1023",10113,-0.0301113,0.808133143837981
"CMAP_1023",10114,0.129079,0.297147943798296
"CMAP_1023",10116,-0.029263,0.874638321269503
"CMAP_1023",1012,-0.0310783,0.893455457939226
"CMAP_1023",10120,0.213363,0.105208771099702
"CMAP_1023",10121,-0.0140468,0.887123494554808
"CMAP_1023",10123,-0.156807,0.357386239316995
"CMAP_1023",10125,0.24368,0.0858519996202218
"CMAP_1023",10126,0.0168063,0.858754724979646
"CMAP_1023",10127,0.206224,0.13634113165033
"CMAP_1023",10128,-0.00786024,0.939603583817104
"CMAP_1023",10129,0.0917147,0.52696296847459
"CMAP_1023",1013,0.0560078,0.556545894698233
"CMAP_1023",10130,0.0685559,0.473901215670887
"CMAP_1023",10131,-0.219256,0.0749227447117643
"CMAP_1023",10133,0.367002,0.286999461267814
"CMAP_1023",10134,-0.112837,0.329514758375041
"CMAP_1023",10135,0.207838,0.289027224422016
"CMAP_1023",10136,0.0700632,0.599210835257152
"CMAP_1023",10137,-0.60116,0.000507121433384594
"CMAP_1023",10138,0.0793694,0.60851882223819
"CMAP_1023",10139,-0.223209,0.228080426953418
"CMAP_1023",1014,0.357574,0.110381382754986
"CMAP_1023",10140,0.395887,0.0210840889980329
"CMAP_1023",10141,0.0180688,0.874438721448403
"CMAP_1023",10142,0.180589,0.0421642190986333
"CMAP_1023",10144,-0.123185,0.539354796228277
"CMAP_1023",10146,-0.154232,0.0906686285876113
"CMAP_1023",10147,-0.405204,8.14946638224828e-05
"CMAP_1023",10148,0.31567,0.0409657186953839
"CMAP_1023",10149,-0.0398245,0.748912891276344
"CMAP_1023",1015,0.0965218,0.389971464703992
"CMAP_1023",10150,0.141204,0.102711845012259
"CMAP_1023",10151,0.0541692,0.587299646268753
"CMAP_1023",10152,-0.00931865,0.930823096601124
"CMAP_1023",10153,-0.409611,0.0307933291983894
"CMAP_1023",10154,-0.0779264,0.493690373010267
"CMAP_1023",10155,-0.318294,0.00479737413221243
"CMAP_1023",10157,0.163109,0.117351420416134
"CMAP_1023",10158,0.0525366,0.638226184180113
"CMAP_1023",10159,0.0595336,0.568351199231881
"CMAP_1023",1016,-0.0436837,0.766720533937571
"CMAP_1023",10160,-0.24062,0.301686245251832
"CMAP_1023",10161,-0.310526,0.217020992817103
"CMAP_1023",10162,-0.165002,0.215959066099839
"CMAP_1023",10164,-0.0846112,0.516022994872107
"CMAP_1023",10165,-0.278409,0.0580446633262758
"CMAP_1023",10168,0.137974,0.381800989321223
"CMAP_1023",10169,0.157105,0.447516175862904
"CMAP_1023",1017,-0.418329,0.00085057918647082
"CMAP_1023",10170,0.605242,0.00870038676167309
"CMAP_1023",10171,-0.44404,0.0289072739182156
"CMAP_1023",10174,-0.082352,0.515871449007066
